遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,獎號7,獎號8,獎號9,獎號10,獎號11,獎號12 
雙贏彩,111000137,2022/06/09,1709750,34195,387500,01,02,04,05,09,10,11,13,14,17,19,23
雙贏彩,111000138,2022/06/10,1770500,35410,1602100,02,03,04,05,06,10,11,12,15,18,20,24
雙贏彩,111000139,2022/06/11,2129200,42584,415700,03,04,05,06,07,09,12,14,16,17,21,24
雙贏彩,111000140,2022/06/13,1907350,38147,479000,03,06,07,08,09,12,13,14,16,20,22,24
雙贏彩,111000141,2022/06/14,1706800,34136,582900,01,02,03,05,06,08,11,12,13,14,18,24
雙贏彩,111000142,2022/06/15,2058700,41174,500100,03,04,05,08,13,14,16,19,20,21,22,24
雙贏彩,111000143,2022/06/16,1728700,34574,482300,01,07,08,09,10,11,12,13,18,19,20,23
雙贏彩,111000144,2022/06/17,1779200,35584,267100,02,03,06,07,08,09,14,17,20,22,23,24
雙贏彩,111000145,2022/06/18,2095350,41907,596000,03,04,06,07,11,13,15,17,18,20,21,23
雙贏彩,111000146,2022/06/20,1872750,37455,385300,04,07,08,10,12,13,17,19,20,21,22,23
雙贏彩,111000147,2022/06/21,1712400,34248,298100,02,03,04,05,07,08,10,11,12,15,21,23
雙贏彩,111000148,2022/06/22,2048850,40977,603500,02,07,11,12,14,15,16,18,19,20,22,23
雙贏彩,111000149,2022/06/23,1733750,34675,765900,01,03,04,06,08,09,11,15,16,20,21,23
雙贏彩,111000150,2022/06/24,1708150,34163,380500,06,07,08,11,12,13,14,17,18,19,20,21
雙贏彩,111000151,2022/06/25,2096150,41923,494600,01,07,09,10,11,12,14,15,16,17,19,24
雙贏彩,111000152,2022/06/27,1910700,38214,482400,03,05,06,08,09,10,11,12,13,17,22,23
雙贏彩,111000153,2022/06/28,1705650,34113,15360400,02,04,06,07,08,10,12,14,15,21,22,23
雙贏彩,111000154,2022/06/29,2096650,41933,502800,03,06,07,09,13,14,15,16,17,20,22,24
雙贏彩,111000155,2022/06/30,1791000,35820,284000,01,03,05,08,10,11,12,14,18,20,23,24
雙贏彩,111000156,2022/07/01,1780000,35600,385600,01,03,05,06,07,09,11,15,16,18,21,23
雙贏彩,111000157,2022/07/02,2131300,42626,819200,03,05,07,09,10,11,12,14,16,19,22,24
雙贏彩,111000158,2022/07/04,1870350,37407,776400,05,06,07,08,11,14,15,18,19,20,21,22
雙贏彩,111000159,2022/07/05,1727200,34544,1406300,01,02,04,06,08,13,14,16,18,21,23,24
雙贏彩,111000160,2022/07/06,2207700,44154,1041200,02,03,04,05,09,10,11,12,16,17,23,24
雙贏彩,111000161,2022/07/07,1845800,36916,494400,02,03,04,06,08,11,12,14,16,18,19,22
雙贏彩,111000162,2022/07/08,1873000,37460,488400,01,02,03,05,06,07,14,15,16,17,18,20
